"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		143",대구,Jan-13,-0.1,4.8,13.4,2013-01-31,-4.5,-11.6,2013-01-04
"		143",대구,Feb-13,2.6,7.5,19.4,2013-02-28,-1.8,-12.5,2013-02-08
"		143",대구,Mar-13,9.8,16.6,26.9,2013-03-09,3.3,-2.3,2013-03-02
"		143",대구,Apr-13,12.3,18.8,28.4,2013-04-16,6.6,1,2013-04-11
"		143",대구,May-13,20.3,26.8,34.4,2013-05-24,14.6,8.7,2013-05-03
"		143",대구,Jun-13,24.3,29.5,34.4,2013-06-16,20.2,15,2013-06-03
"		143",대구,Jul-13,28.7,33.3,35.9,2013-07-22,25.1,22.3,2013-07-06
"		143",대구,Aug-13,29,34.4,37.9,2013-08-12,25,21.7,2013-08-31
"		143",대구,Sep-13,23,28,33,2013-09-13,19,13.6,2013-09-27
"		143",대구,Oct-13,17.2,22.9,28.2,2013-10-01,12.5,6,2013-10-28
"		143",대구,Nov-13,8.9,14,22.8,2013-11-01,4.7,-2.4,2013-11-28
"		143",대구,Dec-13,3.5,8.1,13.3,2013-12-04,-0.5,-4.7,2013-12-28
"		143",대구,Jan-14,2.8,8.1,15.3,2014-01-30,-1.7,-6.2,2014-01-10
"		143",대구,Feb-14,4.5,9.3,20.4,2014-02-02,0.3,-7,2014-02-04
"		143",대구,Mar-14,9.7,15.3,26.4,2014-03-28,4.6,-1.1,2014-03-07
"		143",대구,Apr-14,15.5,21.5,27.9,2014-04-25,10.1,4.6,2014-04-05
"		143",대구,May-14,21.2,27.9,37.4,2014-05-31,15.1,8.5,2014-05-06
"		143",대구,Jun-14,23.4,28.4,33.4,2014-06-27,19.4,15.4,2014-06-07
"		143",대구,Jul-14,27,31.9,37.5,2014-07-31,23.1,20.1,2014-07-03
"		143",대구,Aug-14,24.7,28.8,33.9,2014-08-05,21.7,17.3,2014-08-31
"		143",대구,Sep-14,22.5,27.8,32.3,2014-09-08,18.1,13.7,2014-09-20
"		143",대구,Oct-14,16.4,22,26,2014-10-10,11.6,6.7,2014-10-29
"		143",대구,Nov-14,10.3,15.7,20.5,2014-11-06,5.9,0,2014-11-19
"		143",대구,Dec-14,1.2,5.8,11.8,2014-12-01,-2.8,-7.4,2014-12-17
"		143",대구,Jan-15,2.3,6.8,11.8,2015-01-26,-1.7,-6.1,2015-01-03
"		143",대구,Feb-15,3.8,9,14.7,2015-02-22,-0.6,-8.9,2015-02-09
"		143",대구,Mar-15,9.2,15.5,24.1,2015-03-30,3.3,-4.8,2015-03-10
"		143",대구,Apr-15,14.6,20.2,30,2015-04-26,9.5,3.9,2015-04-09
"		143",대구,May-15,21.7,28,34.5,2015-05-26,15.4,9.6,2015-05-05
"		143",대구,Jun-15,22.9,28.5,35,2015-06-10,18.3,12.9,2015-06-06
"		143",대구,Jul-15,25,29.5,37,2015-07-30,21.3,16.8,2015-07-02
"		143",대구,Aug-15,26,31.2,38.3,2015-08-06,22,18.3,2015-08-27
"		143",대구,Sep-15,20.6,25.9,30,2015-09-04,16.2,12.8,2015-09-14
"		143",대구,Oct-15,15.8,22.2,26.9,2015-10-18,10.4,2.8,2015-10-31
"		143",대구,Nov-15,11,15,21.8,2015-11-05,7.6,-0.3,2015-11-27
"		143",대구,Dec-15,4.5,9,13.5,2015-12-08,0.5,-5.6,2015-12-30
"		143",대구,Jan-16,-0.2,4.3,13.9,2016-01-03,-4.2,-13,2016-01-24
"		143",대구,Feb-16,3.1,8.3,15.9,2016-02-13,-1.6,-6.1,2016-02-03
"		143",대구,Mar-16,8.8,14.5,22.4,2016-03-30,3.5,-4.6,2016-03-01
"		143",대구,Apr-16,14.9,21,27.2,2016-04-22,9.5,4,2016-04-12
"		143",대구,May-16,20,26.7,32.3,2016-05-30,13.6,8.2,2016-05-17
"		143",대구,Jun-16,23.4,28.3,33.5,2016-06-18,19.1,12.3,2016-06-02
"		143",대구,Jul-16,26.4,31.5,36.1,2016-07-27,22.6,19.4,2016-07-07
"		143",대구,Aug-16,27.6,33.2,38.1,2016-08-13,23.2,16.9,2016-08-30
"		143",대구,Sep-16,21.9,25.9,32.2,2016-09-01,18.7,13.1,2016-09-21
"		143",대구,Oct-16,16.6,21,27.6,2016-10-03,13.1,5.7,2016-10-30
"		143",대구,Nov-16,8.8,14,20.4,2016-11-14,4.1,-3,2016-11-26
"		143",대구,Dec-16,4,8.7,16.6,2016-12-22,-0.6,-5.1,2016-12-28
"		143",대구,Jan-17,1.1,6.3,13,2017-01-08,-3.7,-9,2017-01-25
"		143",대구,Feb-17,3.2,8.8,17.1,2017-02-16,-2.2,-6.2,2017-02-11
"		143",대구,Mar-17,7.9,13.9,20.2,2017-03-30,2.4,-2.5,2017-03-08
"		143",대구,Apr-17,15.7,22,31.1,2017-04-30,9.6,2.1,2017-04-02
"		143",대구,May-17,20.8,27.5,35.9,2017-05-29,14.5,8.5,2017-05-03
"		143",대구,Jun-17,23.3,30,36.3,2017-06-19,17.9,12.2,2017-06-04
"		143",대구,Jul-17,28,32.8,38.4,2017-07-22,24,19.1,2017-07-27
"		143",대구,Aug-17,26.4,31.4,37,2017-08-06,22.5,15.5,2017-08-31
"		143",대구,Sep-17,21.5,27,30.4,2017-09-09,16.4,9.2,2017-09-30
"		143",대구,Oct-17,16.2,21.2,29.1,2017-10-09,12,1.7,2017-10-31
"		143",대구,Nov-17,7.8,14.2,22.2,2017-11-10,2.3,-3.5,2017-11-25
"		143",대구,Dec-17,0.7,5.8,12.8,2017-12-03,-4,-10.2,2017-12-14
"		143",대구,Jan-18,-0.9,4,13.2,2018-01-15,-5.2,-13.9,2018-01-27
"		143",대구,Feb-18,1.3,7.1,15,2018-02-14,-4.2,-10.9,2018-02-07
"		143",대구,Mar-18,9.2,15.6,25.9,2018-03-28,3.3,-2.8,2018-03-02
"		143",대구,Apr-18,15,21.4,32,2018-04-21,8.9,0.5,2018-04-08
"		143",대구,May-18,19.2,24.8,32,2018-05-15,14.2,7.2,2018-05-04
"		143",대구,Jun-18,23.6,28.7,35.3,2018-06-25,18.7,13.7,2018-06-17
"		143",대구,Jul-18,28.2,33.1,39.2,2018-07-27,24,17.6,2018-07-08
"		143",대구,Aug-18,27.7,32.9,38.7,2018-08-04,23.7,18.4,2018-08-19
"		143",대구,Sep-18,21,25.4,30.4,2018-09-05,17.2,10.4,2018-09-25
"		143",대구,Oct-18,14.3,20,25.8,2018-10-07,9.3,2.8,2018-10-31
"		143",대구,Nov-18,8.8,15.2,21.2,2018-11-04,3.3,-2.7,2018-11-24
"		143",대구,Dec-18,2,7,16.1,2018-12-04,-2.3,-8.8,2018-12-28
"		143",대구,Jan-19,1.7,7.3,12.5,2019-01-30,-3.5,-7.2,2019-01-27
"		143",대구,Feb-19,4,9.1,15.7,2019-02-24,-0.9,-4.7,2019-02-12
"		143",대구,Mar-19,9.4,15.5,24.2,2019-03-27,3.6,-1.5,2019-03-14
"		143",대구,Apr-19,13.5,19.4,27.1,2019-04-18,8,0.2,2019-04-02
"		143",대구,May-19,20.7,27.5,34.5,2019-05-24,13.6,7.2,2019-05-07
"		143",대구,Jun-19,22.8,28.5,35.7,2019-06-05,17.8,14.5,2019-06-01
"		143",대구,Jul-19,25.8,30,36,2019-07-31,22.3,18.8,2019-07-09
"		143",대구,Aug-19,27.4,32.2,36.9,2019-08-02,23.7,17.9,2019-08-31
"		143",대구,Sep-19,22.6,27,32.5,2019-09-10,19.1,12.5,2019-09-25
"		143",대구,Oct-19,16.8,22,28.6,2019-10-04,12.2,3.9,2019-10-28
"		143",대구,Nov-19,9.8,16.3,23.2,2019-11-01,4.3,-2.6,2019-11-21
"		143",대구,Dec-19,3.5,9,16.6,2019-12-11,-1,-5.9,2019-12-06
"		143",대구,Jan-20,3.8,8.4,15.7,2020-01-07,0.1,-4.9,2020-01-01
"		143",대구,Feb-20,4.9,10.4,18.5,2020-02-14,0.2,-7.5,2020-02-06
"		143",대구,Mar-20,9.5,15.8,25.4,2020-03-21,3.6,-2.9,2020-03-06
"		143",대구,Apr-20,12.6,19,28,2020-04-30,6.5,1.3,2020-04-06
"		143",대구,May-20,19.4,25.7,31.3,2020-05-01,14,9.1,2020-05-08
"		143",대구,Jun-20,24.5,30.5,37,2020-06-09,19.3,15,2020-06-02
"		143",대구,Jul-20,23.2,26.8,32.8,2020-07-20,20.2,16.8,2020-07-18
"		143",대구,Aug-20,28.6,33.3,36.3,2020-08-25,24.8,22.5,2020-08-07
"		143",대구,Sep-20,21.2,26,30.8,2020-09-03,17.1,11.7,2020-09-28
"		143",대구,Oct-20,15.4,21.3,27.3,2020-10-03,10.1,5.3,2020-10-29
"		143",대구,Nov-20,9.7,15.3,25.3,2020-11-19,4.5,-0.8,2020-11-29
"		143",대구,Dec-20,1.6,7.2,12.6,2020-12-28,-3.1,-10.3,2020-12-31
"		143",대구,Jan-21,0.5,5.9,16.1,2021-01-15,-4.3,-13.6,2021-01-08
"		143",대구,Feb-21,4.8,11.1,24.4,2021-02-21,-0.6,-8.5,2021-02-18
"		143",대구,Mar-21,10.2,16.1,23.9,2021-03-26,4.7,-1.5,2021-03-03
"		143",대구,Apr-21,14.5,20.6,29.5,2021-04-21,8.8,2.5,2021-04-10
"		143",대구,May-21,18.3,24.3,30.8,2021-05-23,12.8,7.1,2021-05-06
"		143",대구,Jun-21,23.2,28.5,33.9,2021-06-20,18.9,13.7,2021-06-05
"		143",대구,Jul-21,26.9,32.1,37.2,2021-07-31,22.9,19.6,2021-07-01
"		143",대구,Aug-21,25.7,30.5,37,2021-08-07,22.4,19.7,2021-08-20
"		143",대구,Sep-21,22.1,26.4,30.9,2021-09-11,18.7,15.1,2021-09-24
"		143",대구,Oct-21,16.5,22.7,31.8,2021-10-10,11.5,2,2021-10-18
"		143",대구,Nov-21,9.5,15.7,20.8,2021-11-06,4.4,-2.2,2021-11-28
"		143",대구,Dec-21,3.1,8.9,14.9,2021-12-15,-2.1,-10.8,2021-12-26
"		143",대구,Jan-22,0.9,6.8,12.8,2022-01-23,-4.1,-8.8,2022-01-01
"		143",대구,Feb-22,1.6,7.4,15.1,2022-02-28,-3.4,-9.3,2022-02-18
"		143",대구,Mar-22,9.7,15.9,23.3,2022-03-30,3.8,-2.2,2022-03-07
"		143",대구,Apr-22,15.9,22.7,30.2,2022-04-12,9.4,1.2,2022-04-02
"		143",대구,May-22,20.7,27.4,33.2,2022-05-25,14.1,6.5,2022-05-03
"		143",대구,Jun-22,24.3,29.7,37.1,2022-06-22,19.8,13.3,2022-06-09
"		143",대구,Jul-22,27.5,32.4,36.8,2022-07-02,23.7,21.4,2022-07-16
"		143",대구,Aug-22,26.9,31.4,37.8,2022-08-07,23.4,16.2,2022-08-28
"		143",대구,Sep-22,21.9,26.8,33.2,2022-09-17,17.7,11.6,2022-09-22
"		143",대구,Oct-22,15.5,21.6,31,2022-10-01,10.1,3.2,2022-10-20
"		143",대구,Nov-22,11,17.7,24.3,2022-11-12,5.2,-3.2,2022-11-30
"		143",대구,Dec-22,0.4,5.4,12.8,2022-12-09,-4,-9.3,2022-12-24
"		143",대구,Jan-23,0.9,6.7,15.5,2023-01-13,-4.3,-14.2,2023-01-25
"		143",대구,Feb-23,4.4,10.4,18.1,2023-02-28,-0.7,-5.2,2023-02-05
"		143",대구,Mar-23,11.8,18.8,25.6,2023-03-31,5.4,0.2,2023-03-13
"		143",대구,Apr-23,14.8,20.9,29.6,2023-04-20,8.8,4.4,2023-04-27
"		143",대구,May-23,19.3,25.1,33.6,2023-05-16,13.8,5.7,2023-05-08
"		143",대구,Jun-23,24,29.6,34.2,2023-06-17,19.3,13.8,2023-06-01
"		143",대구,Jul-23,26.7,31.1,35.5,2023-07-30,23.1,18,2023-07-07
"		143",대구,Aug-23,27.5,31.9,37.7,2023-08-03,24,21.2,2023-08-31
"		143",대구,Sep-23,23.5,27.9,32.8,2023-09-18,20,15.3,2023-09-23
"		143",대구,Oct-23,15.9,22.4,24.8,2023-10-31,10.5,5.3,2023-10-22
"		143",대구,Nov-23,9.2,15.1,27.3,2023-11-02,4.1,-2.4,2023-11-26
"		143",대구,Dec-23,3.5,8.6,20,2023-12-09,-1.3,-9.7,2023-12-22
"		143",대구,Jan-24,2.3,7.6,15.4,2024-01-31,-2.1,-8.8,2024-01-23
"		143",대구,Feb-24,5.4,10.4,19.2,2024-02-14,1.5,-2.8,2024-02-12
"		143",대구,Mar-24,8.5,14.3,24.1,2024-03-23,3.2,-5.5,2024-03-02
"		143",대구,Apr-24,16.3,22.5,30.5,2024-04-27,10.8,4.7,2024-04-10
"		143",대구,May-24,19.4,26.2,32.5,2024-05-23,12.9,6.6,2024-05-02
"		143",대구,Jun-24,24.6,30.4,36.8,2024-06-19,19.4,12.5,2024-06-05
"		143",대구,Jul-24,27.8,31.7,36.3,2024-07-31,24.5,21.7,2024-07-11
"		143",대구,Aug-24,29.1,34.4,37.2,2024-08-03,25,23,2024-08-14
"		143",대구,Sep-24,25.4,30.4,36.1,2024-09-17,21.6,13.6,2024-09-24
"		143",대구,Oct-24,17,21.8,28.2,2024-10-01,13,7.6,2024-10-24
"		143",대구,Nov-24,10.7,16.3,23,2024-11-16,6,-0.5,2024-11-19
"		143",대구,Dec-24,3.5,8.3,18.6,2024-12-02,-0.8,-5.2,2024-12-19
"		143",대구,Jan-25,1.4,7,12.6,2025-01-23,-3.4,-10.7,2025-01-10
"		143",대구,Feb-25,1.2,6.6,18.6,2025-02-28,-3.4,-9.3,2025-02-08
"		143",대구,Mar-25,9.6,15.6,27.9,2025-03-23,3.8,-1,2025-03-20
"		143",대구,Apr-25,14.9,21.9,29.5,2025-04-18,8.3,2,2025-04-02
"		143",대구,May-25,18.1,24.2,33.7,2025-05-20,12.8,6.6,2025-05-05
"		143",대구,Jun-25,,,33.6,2025-06-10,,13.2,2025-06-01
